iata,icao,name,location,time,country
ANQ,KANQ,Tri-State Steuben County Airport,"Angola, Indiana, United States",UTC−05:00,United States
ANR,EBAW,Antwerp International Airport,"Antwerp, Belgium",UTC+01:00,Belgium
ANS,SPHY,Andahuaylas Airport,"Andahuaylas, Peru",UTC−05:00,Peru
ANU,TAPA,V. C. Bird International Airport,"Antigua, Antigua and Barbuda",UTC−04:00,Antigua and Barbuda
ANV,PANV,Anvik Airport,"Anvik, Alaska, United States",UTC−09:00,United States
ANW,KANW,Ainsworth Regional Airport,"Ainsworth, Nebraska, United States",UTC−06:00,United States
ANX,ENAN,"Andøya Airport, Andenes","Andenes, Norway",UTC+01:00,Norway
ANY,KANY,Anthony Municipal Airport,"Anthony, Kansas, United States",UTC−06:00,United States
ANZ,Not Available,Angus Downs Airport,"Angus Downs, Northern Territory, Australia",UTC+09:30,Australia
AOA,Not Available,Aroa Airport,"Aroa, Papua New Guinea",UTC+10:00,Papua New Guinea
AOB,Not Available,Annanberg Airport,"Annanberg, Papua New Guinea",UTC+10:00,Papua New Guinea
AOC,EDAC,Leipzig–Altenburg Airport,"Altenburg, Thuringia, Germany",UTC+01:00,Germany
AOD,Not Available,Abou-Deïa Airport,"Abou-Deïa, Chad",UTC+01:00,Chad
AOE,LTBY,Anadolu Airport,"Eskişehir, Turkey",UTC+03:00,Turkey
AOG,ZYAS,Anshan Teng'ao Airport,"Anshan, Liaoning, China",UTC+08:00,China
AOH,KAOH,Lima Allen County Airport,"Lima, Ohio, United States",UTC−05:00,United States
AOI,LIPY,Ancona Falconara Airport,"Ancona, Marche, Italy",UTC+01:00,Italy
AOJ,RJSA,Aomori Airport,"Aomori, Honshu, Japan",UTC+09:00,Japan
AOK,LGKP,Karpathos Island National Airport,"Karpathos, Greece",UTC+02:00,Greece
AOL,SARL,Paso de los Libres Airport,"Paso de los Libres, Corrientes, Argentina",UTC−03:00,Argentina
AOM,Not Available,Adam Airport[1],"Adam, Oman",UTC+04:00,Oman
AON,Not Available,Arona Airport,"Arona, Papua New Guinea",UTC+10:00,Papua New Guinea
AOO,KAOO,Altoona–Blair County Airport,"Altoona, Pennsylvania, United States",UTC−05:00,United States
AOP,Not Available,Alférez FAP Alfredo Vladimir Sara Bauer Airport,"Andoas, Peru",UTC−05:00,Peru
AOR,WMKA,Sultan Abdul Halim Airport,"Alor Setar, Kedah, Malaysia",UTC+08:00,Malaysia
AOS,Not Available,Amook Bay Seaplane Base (FAA: AK81),"Amook Bay, Alaska, United States",UTC−09:00,United States
AOT,LIMW,Aosta Valley Airport,"Aosta, Aosta Valley, Italy",UTC+01:00,Italy
AOU,VLAP,Attapeu International Airport,"Attapeu, Laos",UTC+07:00,Laos
APA,KAPA,Centennial Airport,"Denver, Colorado, United States",UTC−07:00,United States
APB,SLAP,Apolo Airport,"Apolo, Bolivia",UTC−04:00,Bolivia
APC,KAPC,Napa County Airport,"Napa, California, United States",UTC−08:00,United States
APF,KAPF,Naples Municipal Airport,"Naples, Florida, United States",UTC−05:00,United States
APG,KAPG,Phillips Army Airfield,"Aberdeen Proving Ground, Maryland, United States",UTC−05:00,United States
APH,KAPH,A.P. Hill Army Airfield,"Fort Walker, Virginia, United States",UTC−05:00,United States
API,SKAP,Captain Luis F. Gómez Niño Air Base,"Apiay, Colombia",UTC−05:00,Colombia
APK,NTGD,Apataki Airport,"Apataki, Tuamotus, French Polynesia",UTC−10:00,French Polynesia
APL,FQNP,Nampula Airport,"Nampula, Mozambique",UTC+02:00,Mozambique
APN,KAPN,Alpena County Regional Airport,"Alpena, Michigan, United States",UTC−05:00,United States
APO,SKLC,Antonio Roldán Betancourt Airport,"Apartadó, Colombia",UTC−05:00,Colombia
APP,Not Available,Asapa Airport,"Asapa, Papua New Guinea",UTC+10:00,Papua New Guinea
APQ,SNAL,Arapiraca Airport,"Arapiraca, Alagoas, Brazil",UTC−03:00,Brazil
APR,AYPE,April River Airport,"April River, Papua New Guinea",UTC+10:00,Papua New Guinea
APS,SWNS,Anápolis Airport,"Anápolis, Goiás, Brazil",UTC−03:00,Brazil
APT,KAPT,Marion County Airport (Brown Field),"Jasper, Tennessee, United States",UTC−06:00,United States
APU,SSAP,Apucarana Airport,"Apucarana, Paraná, Brazil",UTC−03:00,Brazil
APV,KAPV,Apple Valley Airport,"Apple Valley, California, United States",UTC−08:00,United States
APW,NSFA,Faleolo International Airport,"Apia, Upolu Island, Samoa",UTC+13:00,Samoa
APX,SSOG,Arapongas Airport,"Arapongas, Paraná, Brazil",UTC−03:00,Brazil
APY,SNAI,Alto Parnaíba Airport,"Alto Parnaíba, Maranhão, Brazil",UTC−03:00,Brazil
APZ,SAHZ,Zapala Airport,"Zapala, Neuquén, Argentina",UTC−03:00,Argentina
AQA,SBAQ,Araraquara Airport,"Araraquara, São Paulo, Brazil",UTC−03:00,Brazil
AQB,MGQC,Quiché Airport,"Quiché, Guatemala",UTC−06:00,Guatemala
AQG,ZSAQ,Anqing Tianzhushan Airport,"Anqing, Anhui, China",UTC+08:00,China
AQI,OEPA,Al Qaisumah/Hafr Al Batin Airport,"Qaisumah / Hafar al-Batin, Saudi Arabia",UTC+03:00,Saudi Arabia
AQJ,OJAQ,King Hussein International Airport,"Aqaba, Jordan",UTC+02:00,Jordan
AQM,Not Available,Ariquemes Airport,"Ariquemes, Rondônia, Brazil",UTC−04:00,Brazil
AQP,SPQU,Rodríguez Ballón International Airport,"Arequipa, Peru",UTC−05:00,Peru
AQS,Not Available,Saqani Airport,"Saqani, Fiji",UTC+12:00,Fiji
AQY,Not Available,Girdwood Airport[1],"Girdwood, Alaska, United States",UTC−09:00,United States
ARA,KARA,Acadiana Regional Airport,"New Iberia, Louisiana, United States",UTC−06:00,United States
ARB,KARB,Ann Arbor Municipal Airport,"Ann Arbor, Michigan, United States",UTC−05:00,United States
ARC,PARC,Arctic Village Airport,"Arctic Village, Alaska, United States",UTC−09:00,United States
ARD,WATM,Alor Island Airport,"Alor Island, Indonesia",UTC+08:00,Indonesia
ARE,TJAB,Antonio (Nery) Juarbe Pol Airport (FAA: ABO),"Arecibo, Puerto Rico, United States",UTC−04:00,United States
ARF,Not Available,Acaricuara Airport,"Acaricuara, Colombia",UTC−05:00,Colombia
ARG,KARG,Walnut Ridge Regional Airport,"Walnut Ridge, Arkansas, United States",UTC−06:00,United States
ARH,ULAA,Talagi Airport,"Arkhangelsk, Arkhangelsk Oblast, Russia",UTC+03:00,Russia
ARI,SCAR,Chacalluta International Airport,"Arica, Chile",UTC−04:00,Chile
ARJ,WAJA,Arso Airport,"Arso, Indonesia",UTC+09:00,Indonesia
ARK,HTAR,Arusha Airport,"Arusha, Tanzania",UTC+03:00,Tanzania
ARL,DFER,Arly Airport,"Arly, Burkina Faso",UTC+00:00,Burkina Faso
ARM,YARM,Armidale Airport,"Armidale, New South Wales, Australia",UTC+10:00,Australia
ARN,ESSA,Stockholm Arlanda Airport,"Stockholm, Sweden",UTC+01:00,Sweden
ARO,Not Available,Arboletes Airport,"Arboletes, Colombia",UTC−05:00,Colombia
ARP,Not Available,Aragip Airport,"Aragip, Papua New Guinea",UTC+10:00,Papua New Guinea
ARQ,SKAT[3],El Troncal Airport,"Arauquita, Colombia",UTC−05:00,Colombia
ARR,SAVR,Alto Río Senguer Airport,"Alto Río Senguer, Chubut, Argentina",UTC−03:00,Argentina
ARS,SWEC,Aragarças Airport,"Aragarças, Goiás, Brazil",UTC−03:00,Brazil
ART,KART,Watertown International Airport,"Watertown, New York, United States",UTC−05:00,United States
ARU,SBAU,Araçatuba Airport,"Araçatuba, São Paulo, Brazil",UTC−03:00,Brazil
ARV,KARV,Lakeland Airport (Noble F. Lee Memorial Field),"Minocqua / Woodruff, Wisconsin, United States",UTC−06:00,United States
ARW,LRAR,Arad International Airport,"Arad, Romania",UTC+02:00,Romania
ARX,SBAC,Aracati Airport,"Aracati, Canoa Quebrada, Brazil",UTC−03:00,Brazil
ARY,YARA,Ararat Airport,"Ararat, Victoria, Australia",UTC+10:00,Australia
ARZ,FNZE,N'zeto Airport,"N'zeto, Angola",UTC+01:00,Angola
ASA,HHSB,Assab International Airport,"Assab, Eritrea",UTC+03:00,Eritrea
ASB,UTAA,Ashgabat International Airport,"Ashgabat, Turkmenistan",UTC+05:00,Turkmenistan
ASC,SLAS,Ascención de Guarayos Airport,"Ascención de Guarayos, Bolivia",UTC−04:00,Bolivia
ASD,MYAF,Andros Town International Airport,"Andros Town, Andros Island, Bahamas",UTC−05:00,Bahamas
ASE,KASE,Aspen–Pitkin County Airport (Sardy Field),"Aspen, Colorado, United States",UTC−07:00,United States
ASF,URWA,Narimanovo Airport,"Astrakhan, Astrakhan Oblast, Russia",UTC+04:00,Russia
ASG,NZAS,Ashburton Aerodrome,"Ashburton, New Zealand",UTC+12:00,New Zealand
ASH,KASH,Nashua Airport (Boire Field),"Nashua, New Hampshire, United States",UTC−05:00,United States
ASI,FHAW,RAF Ascension Island (Wideawake Field),"Ascension Island, British Overseas Territoryof Saint Helena, Ascension and Tristan da Cunha",UTC+00:00,Ascension and Tristan da Cunha
ASJ,RJKA,Amami Airport,"Amami, Satsunan Islands, Japan",UTC+09:00,Japan
ASK,DIYO,Yamoussoukro Airport,"Yamoussoukro, Côte d'Ivoire",UTC+00:00,Côte d'Ivoire
ASL,KASL,Harrison County Airport,"Marshall, Texas, United States",UTC−06:00,United States
ASM,HHAS,Asmara International Airport,"Asmara, Eritrea",UTC+03:00,Eritrea
ASN,KASN,Talladega Municipal Airport,"Talladega, Alabama, United States",UTC−06:00,United States
ASO,HASO,Asosa Airport,"Asosa, Ethiopia",UTC+03:00,Ethiopia
ASP,YBAS,Alice Springs Airport,"Alice Springs, Northern Territory, Australia",UTC+09:30,Australia
ASQ,Not Available,Austin Airport (FAA: 9U3),"Austin, Nevada, United States",UTC−08:00,United States
ASR,LTAU,Erkilet International Airport,"Kayseri, Turkey",UTC+03:00,Turkey
AST,KAST,Astoria Regional Airport,"Astoria, Oregon, United States",UTC−08:00,United States
ASU,SGAS,Silvio Pettirossi International Airport,"Asunción, Paraguay",UTC−04:00,Paraguay
ASV,HKAM,Amboseli Airport,"Amboseli, Kenya",UTC+03:00,Kenya
ASW,HESN,Aswan International Airport,"Aswan, Egypt",UTC+02:00,Egypt
ASX,KASX,John F. Kennedy Memorial Airport,"Ashland, Wisconsin, United States",UTC−06:00,United States
ASY,KASY,Ashley Municipal Airport,"Ashley, North Dakota, United States",UTC−06:00,United States
ASZ,Not Available,Asirim Airport,"Asirim, Papua New Guinea",UTC+10:00,Papua New Guinea
ATA,SPHZ,Comandante FAP Germán Arias Graziani Airport,"Huaraz, Peru",UTC−05:00,Peru
ATB,HSAT,Atbara Airport,"Atbara, Sudan",UTC+03:00,Sudan
ATC,MYCA,Arthur's Town Airport,"Arthur's Town, Cat Island, Bahamas",UTC−05:00,Bahamas
ATD,AGAT,Uru Harbour Airport,"Atoifi, Malaita, Solomon Islands",UTC+11:00,Solomon Islands
ATE,Not Available,Antlers Municipal Airport (FAA: 80F),"Antlers, Oklahoma, United States",UTC−06:00,United States
ATF,SEAM,Chachoan Airport,"Ambato, Ecuador",UTC−05:00,Ecuador
ATG,Not Available,PAF Base Minhas,"Attock, Pakistan",UTC+05:00,Pakistan
ATH,LGAV,Athens International Airport (Eleftherios Venizelos Airport),"Athens, Greece",UTC+02:00,Greece
ATI,SUAG,Artigas International Airport,"Artigas, Uruguay",UTC−03:00,Uruguay
ATJ,FMME,Antsirabe Airport,"Antsirabe, Madagascar",UTC+03:00,Madagascar
ATK,PATQ,Atqasuk Edward Burnell Sr. Memorial Airport,"Atqasuk, Alaska, United States",UTC−09:00,United States
ATL,KATL,Hartsfield–Jackson Atlanta International Airport,"Atlanta, Georgia, United States",UTC−05:00,United States
ATM,SBHT,Altamira Airport,"Altamira, Pará, Brazil",UTC−03:00,Brazil
ATN,AYNX,Namatanai Airport,"Namatanai, Papua New Guinea",UTC+10:00,Papua New Guinea
ATO,KUNI,Ohio University Airport (Snyder Field) (FAA: UNI),"Athens / Albany, Ohio, United States",UTC−05:00,United States
ATP,AYAI,Aitape Airstrip,"Aitape, Papua New Guinea",UTC+10:00,Papua New Guinea
ATQ,VIAR,Sri Guru Ram Dass Jee International Airport,"Amritsar, Punjab, India",UTC+05:30,India
ATR,GQPA,Atar International Airport,"Atar, Mauritania",UTC+00:00,Mauritania
ATS,KATS,Artesia Municipal Airport,"Artesia, New Mexico, United States",UTC−07:00,United States
ATT,Not Available,Atmautluak Airport (FAA: 4A2),"Atmautluak, Alaska, United States",UTC−09:00,United States
ATU,PAAT,Casco Cove Coast Guard Station,"Attu Island, Alaska, United States",UTC−10:00,United States
ATV,FTTI,Ati Airport,"Ati, Chad",UTC+01:00,Chad
ATW,KATW,Appleton International Airport,"Appleton, Wisconsin, United States",UTC−06:00,United States
ATX,Not Available,Atbasar Airport,"Atbasar, Kazakhstan",UTC+06:00,Kazakhstan
ATY,KATY,Watertown Regional Airport,"Watertown, South Dakota, United States",UTC−06:00,United States
ATZ,HEAT,Assiut Airport,"Assiut, Egypt",UTC+02:00,Egypt
AUA,TNCA,Queen Beatrix International Airport,"Aruba, Kingdom of the Netherlands",UTC−04:00,Kingdom of the Netherlands
AUC,SKUC,Santiago Pérez Quiroz Airport,"Arauca, Colombia",UTC−05:00,Colombia
AUD,YAGD,Augustus Downs Airport,"Augustus Downs Station, Queensland, Australia",UTC+10:00,Australia
AUE,Not Available,Abu Rudeis Airport,"Abou Redis, Egypt",UTC+02:00,Egypt
AUF,LFLA,Auxerre – Branches Aerodrome,"Auxerre, Burgundy, France",UTC+01:00,France
AUG,KAUG,Augusta State Airport,"Augusta, Maine, United States",UTC−05:00,United States
AUH,OMAA,Abu Dhabi International Airport,"Abu Dhabi, United Arab Emirates",UTC+04:00,United Arab Emirates
AUI,AYND,Aua Island Airport,"Aua Island, Papua New Guinea",UTC+10:00,Papua New Guinea
AUJ,AYAT,Ambunti Airport,"Ambunti, Papua New Guinea",UTC+10:00,Papua New Guinea
AUK,Not Available,Alakanuk Airport,"Alakanuk, Alaska, United States",UTC−09:00,United States
AUL,Not Available,Aur Airport,"Aur Atoll, Marshall Islands",UTC+12:00,Marshall Islands
AUM,KAUM,Austin Municipal Airport,"Austin, Minnesota, United States",UTC−06:00,United States
AUN,KAUN,Auburn Municipal Airport,"Auburn, California, United States",UTC−08:00,United States
AUO,KAUO,Auburn University Regional Airport,"Auburn, Alabama, United States",UTC−06:00,United States
AUP,AYAG,Agaun Airport,"Agaun, Papua New Guinea",UTC+10:00,Papua New Guinea
AUQ,NTMN,Atuona Airport,"Atuona, Marquesas Islands, French Polynesia",UTC−09:30,French Polynesia
AUR,LFLW,Aurillac – Tronquières Airport,"Aurillac, Auvergne, France",UTC+01:00,France
AUS,KAUS,Austin–Bergstrom International Airport,"Austin, Texas, United States",UTC−06:00,United States
AUT,WPAT,Atauro Airport,"Atauro Island, East Timor",UTC+09:00,East Timor
AUU,YAUR,Aurukun Airport,"Aurukun, Queensland, Australia",UTC+10:00,Australia
AUV,AYUM,Aumo Airport,"Aumo, Papua New Guinea",UTC+10:00,Papua New Guinea
AUW,KAUW,Wausau Downtown Airport,"Wausau, Wisconsin, United States",UTC−06:00,United States
AUX,SWGN,Araguaína Airport,"Araguaína, Tocantins, Brazil",UTC−03:00,Brazil
AUY,NVVA,Anatom Airport,"Anatom Island, Tafea, Vanuatu",UTC+11:00,Vanuatu
AUZ,KARR,Aurora Municipal Airport (FAA: ARR),"Aurora, Illinois, United States",UTC−06:00,United States
AVA,ZUAS,Anshun Huangguoshu Airport,"Anshun, Guizhou, China",UTC+08:00,China
AVB,LIPA,Aviano Air Base,"Aviano, Pordenone, Italy",UTC+01:00,Italy
AVG,YAUV,Auvergne Airport,"Auvergne Station, Northern Territory, Australia",UTC+09:30,Australia
AVI,MUCA,Máximo Gómez Airport,"Ciego de Ávila, Cuba",UTC−05:00,Cuba
AVK,ZMAH,Arvaikheer Airport,"Arvaikheer, Mongolia",UTC+08:00,Mongolia
AVL,KAVL,Asheville Regional Airport,"Asheville, North Carolina, United States",UTC−05:00,United States
AVN,LFMV,Avignon – Provence Airport,"Avignon, Provence-Alpes-Côte d'Azur, France",UTC+01:00,France
AVO,KAVO,Avon Park Executive Airport,"Avon Park, Florida, United States",UTC−05:00,United States
AVP,KAVP,Wilkes-Barre/Scranton International Airport,"Wilkes-Barre / Scranton, Pennsylvania, United States",UTC−05:00,United States
AVU,AGGJ,Avu Avu Airport,"Avu Avu, Guadalcanal, Solomon Islands",UTC+11:00,Solomon Islands
AVV,YMAV,Avalon Airport,"Avalon, Victoria, Australia",UTC+10:00,Australia
AVW,KAVQ,Marana Regional Airport (FAA: AVQ),"Tucson, Arizona, United States",UTC−07:00,United States
AVX,KAVX,Catalina Airport,"Avalon, California, United States",UTC−08:00,United States
AWA,HALA,Awasa Airport,"Awasa, Ethiopia",UTC+03:00,Ethiopia
AWB,AYAW,Awaba Airport,"Awaba, Papua New Guinea",UTC+10:00,Papua New Guinea
AWD,NVVB,Aniwa Airport,"Aniwa Island, Tafea, Vanuatu",UTC+11:00,Vanuatu
AWE,Not Available,Alowe Airport,"Alowe, Gabon",UTC+01:00,Gabon
AWK,PWAK,Wake Island Airfield,"Wake Island, United States Minor Outlying Islands",UTC+12:00,United States Minor Outlying Islands
AWM,KAWM,West Memphis Municipal Airport,"West Memphis, Arkansas, United States",UTC−06:00,United States
AWN,Not Available,Alton Downs Airport,"Alton Downs, South Australia, Australia",UTC+09:30,Australia
AWP,Not Available,Austral Downs Airport,"Austral Downs, Northern Territory, Australia",UTC+09:30,Australia
AWR,Not Available,Awar Airport,"Awar, Papua New Guinea",UTC+10:00,Papua New Guinea
AWZ,OIAW,Ahvaz International Airport,"Ahvaz, Iran",UTC+03:30,Iran
AXA,TQPF,Clayton J. Lloyd International Airport,"The Valley, British Overseas Territory of Anguilla",UTC−04:00,British Overseas Territory of Anguilla
AXB,Not Available,Maxson Airfield (FAA: 89N),"Alexandria Bay, New York, United States",UTC−05:00,United States
AXC,YAMC,Aramac Airport,"Aramac, Queensland, Australia",UTC+10:00,Australia
AXD,LGAL,Alexandroupoli Airport (Dimokritos Airport),"Alexandroupoli, Greece",UTC+02:00,Greece
AXE,Not Available,Xanxere Airport,"Xanxerê, Santa Catarina, Brazil",UTC−03:00,Brazil
AXF,Not Available,Alxa Left Banner Bayanhot Airport,"Alxa Left Banner, Inner Mongolia, China",UTC+08:00,China
AXG,KAXA,Algona Municipal Airport (FAA: AXA),"Algona, Iowa, United States",UTC−06:00,United States
AXJ,RJDA,Amakusa Airfield[1],"Amakusa, Amakusa Islands, Japan",UTC+09:00,Japan
AXK,OYAT,Ataq Airport,"Ataq, Yemen",UTC+03:00,Yemen
AXL,Not Available,Alexandria Airport,"Alexandria Station, Northern Territory, Australia",UTC+09:30,Australia
AXM,SKAR,El Edén International Airport,"Armenia, Colombia",UTC−05:00,Colombia
AXN,KAXN,Alexandria Municipal Airport (Chandler Field),"Alexandria, Minnesota, United States",UTC−06:00,United States
AXP,MYAP,Spring Point Airport,"Spring Point, Acklins Island, Bahamas",UTC−05:00,Bahamas
AXR,NTGU,Arutua Airport,"Arutua, Tuamotus, French Polynesia",UTC−10:00,French Polynesia
AXS,KAXS,Altus/Quartz Mountain Regional Airport,"Altus, Oklahoma, United States",UTC−06:00,United States
AXT,RJSK,Akita Airport,"Akita, Honshu, Japan",UTC+09:00,Japan
AXU,HAAX,Axum Airport,"Axum, Ethiopia",UTC+03:00,Ethiopia
AXV,KAXV,Neil Armstrong Airport,"Wapakoneta, Ohio, United States",UTC−05:00,United States
AXX,KAXX,Angel Fire Airport,"Angel Fire, New Mexico, United States",UTC−07:00,United States
AYA,Not Available,Ayapel Airport,"Ayapel, Colombia",UTC−05:00,Colombia
AYC,Not Available,Ayacucho Airport,"Ayacucho, Colombia",UTC−05:00,Colombia
AYD,Not Available,Alroy Downs Airport,"Alroy Downs, Northern Territory, Australia",UTC+09:30,Australia
AYG,SKYA,Yaguara Airport,"Yaguara, Colombia",UTC−05:00,Colombia
AYI,Not Available,Yari Airport,"Yari, Colombia",UTC−05:00,Colombia
AYK,UAUR,Arkalyk Airport,"Arkalyk, Kazakhstan",UTC+06:00,Kazakhstan
AYL,Not Available,Anthony Lagoon Airport,"Anthony Lagoon, Northern Territory, Australia",UTC+09:30,Australia
AYM,Not Available,Yas Island Seaplane Base[1],"Yas Island, Abu Dhabi, United Arab Emirates",UTC+04:00,United Arab Emirates
AYN,ZHAY,Anyang Airport,"Anyang, Henan, China",UTC+08:00,China
AYO,SGAY,Juan de Ayolas Airport,"Ayolas, Paraguay",UTC−04:00,Paraguay
AYP,SPHO,Coronel FAP Alfredo Mendívil Duarte Airport,"Ayacucho, Peru",UTC−05:00,Peru
AYQ,YAYE,Ayers Rock Airport,"Yulara, Northern Territory, Australia",UTC+09:30,Australia
AYR,YAYR,Ayr Airport,"Ayr, Queensland, Australia",UTC+10:00,Australia
AYS,KAYS,Waycross–Ware County Airport,"Waycross, Georgia, United States",UTC−05:00,United States
AYT,LTAI,Antalya Airport,"Antalya, Turkey",UTC+03:00,Turkey
AYU,AYAY,Aiyura Airport,"Aiyura, Papua New Guinea",UTC+10:00,Papua New Guinea
AYW,WASA,Ayawasi Airport,"Ayawasi, West Papua, Indonesia",UTC+08:00,Indonesia
AYX,SPAY,Tnte. Gral. Gerardo Pérez Pinedo Airport,"Atalaya Province, Department of Ucayali, Peru",UTC−05:00,Peru
AYY,Not Available,Arugam Bay Seaplane Base[1],"Pottuvil, Sri Lanka",UTC+05:30,Sri Lanka
AZA,KIWA,Phoenix–Mesa Gateway Airport (FAA: IWA),"Phoenix, Arizona, United States",UTC−07:00,United States
AZB,Not Available,Amazon Bay Airport,"Amazon Bay, Papua New Guinea",UTC+10:00,Papua New Guinea
AZD,OIYY,Shahid Sadooghi Airport,"Yazd, Iran",UTC+03:30,Iran
AZG,Not Available,Pablo L. Sidar Airport,"Apatzingán, Michoacán, Mexico",UTC−06:00,Mexico
AZI,OMAD,Al Bateen Executive Airport,"Abu Dhabi, United Arab Emirates",UTC+04:00,United Arab Emirates
AZL,SWTU[4],Fazenda Tucunaré Airport[1],"Sapezal, Mato Grosso, Brazil",UTC−04:00,Brazil
AZN,UTFA,Andizhan Airport,"Andizhan, Uzbekistan",UTC+05:00,Uzbekistan
AZO,KAZO,Kalamazoo/Battle Creek International Airport,"Kalamazoo, Michigan, United States",UTC−05:00,United States
AZP,MMJC,Jorge Jiménez Cantú National Airport,"Ciudad López Mateos, State of Mexico, Mexico",UTC−06:00,Mexico
AZR,DAUA,Touat-Cheikh Sidi Mohamed Belkebir Airport,"Adrar, Algeria",UTC+01:00,Algeria
AZS,MDCY,Samaná El Catey International Airport,"El Catey, Dominican Republic",UTC−04:00,Dominican Republic
AZT,Not Available,Zapatoca Airport,"Zapatoca, Colombia",UTC−05:00,Colombia
